ts_utc,event,source
2010-01-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2010-02-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2010-03-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2010-04-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-05-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-06-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-07-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-08-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-09-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-10-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-11-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2010-12-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2011-01-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2011-02-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2011-03-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2011-04-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-05-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-06-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-07-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-08-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-09-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-10-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-11-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2011-12-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2012-01-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2012-02-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2012-03-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2012-04-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-05-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-06-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-07-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-08-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-09-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-10-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-11-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2012-12-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2013-01-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2013-02-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2013-03-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2013-04-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-05-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-06-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-07-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-08-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-09-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-10-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-11-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2013-12-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2014-01-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2014-02-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2014-03-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2014-04-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-05-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-06-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-07-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-08-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-09-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-10-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2014-11-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2014-12-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2015-01-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2015-02-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2015-03-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2015-04-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-05-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-06-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-07-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-08-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-09-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-10-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2015-11-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2015-12-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2016-01-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2016-02-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2016-03-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2016-04-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-05-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-06-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-07-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-08-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-09-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-10-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-11-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2016-12-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2017-01-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2017-02-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2017-03-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2017-04-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-05-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-06-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-07-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-08-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-09-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-10-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-11-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2017-12-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2018-01-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2018-02-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2018-03-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2018-04-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-05-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-06-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-07-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-08-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-09-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-10-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-11-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2018-12-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2019-01-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2019-02-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2019-03-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2019-04-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-05-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-06-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-07-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-08-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-09-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-10-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-11-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2019-12-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2020-01-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2020-02-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2020-03-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2020-04-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-05-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-06-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-07-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-08-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-09-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-10-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2020-11-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2020-12-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2021-01-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2021-02-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2021-03-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2021-04-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-05-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-06-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-07-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-08-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-09-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-10-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-11-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2021-12-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2022-01-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2022-02-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2022-03-04T13:30:00Z,NFP,https://www.bls.gov/schedule/
2022-04-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-05-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-06-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-07-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-08-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-09-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-10-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-11-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2022-12-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2023-01-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2023-02-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2023-03-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2023-04-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-05-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-06-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-07-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-08-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-09-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-10-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-11-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2023-12-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2024-01-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2024-02-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
2024-03-01T13:30:00Z,NFP,https://www.bls.gov/schedule/
2024-04-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-05-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-06-07T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-07-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-08-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-09-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-10-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-11-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2024-12-06T13:30:00Z,NFP,https://www.bls.gov/schedule/
2025-01-03T13:30:00Z,NFP,https://www.bls.gov/schedule/
2025-02-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2025-03-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2025-04-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-05-02T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-06-06T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-07-04T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-08-01T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-09-05T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-10-03T12:30:00Z,NFP,https://www.bls.gov/schedule/
2025-11-07T13:30:00Z,NFP,https://www.bls.gov/schedule/
2025-12-05T13:30:00Z,NFP,https://www.bls.gov/schedule/
2026-01-02T13:30:00Z,NFP,https://www.bls.gov/schedule/
